lang,feature,F,p
en,mattr,28.189279102561066,2.5399344277622397e-16
en,hapax_rate,48.10935006099044,1.0285330049079131e-23
en,mean_token_len,31.921563594840165,6.99710140999477e-18
en,zipf_slope,56.26804078409606,3.284519041033027e-26
en,sent_len_mean,9.060195560627784,2.132006322243729e-06
en,sent_len_sd,7.417687803841148,2.3724545134039243e-05
en,burstiness,12.910303237962435,1.0285654516447604e-08
en,dep_depth,19.8667335308863,1.864675977568126e-12
en,subord_rate,16.124731752514116,1.6491279968790087e-10
en,func_word_ratio,18.051813320763745,1.5727208371421438e-11
en,first_person_rate,4.048662556274629,0.0041525532690555806
en,para_count,8.478029867892014,4.962510622728838e-06
en,para_len_mean,7.671827355674656,1.625682041331805e-05
en,question_rate,,
en,connective_rate,2.8293027518712504,0.027862540359180562
en,comma_per_1k,12.510643623937215,1.7538388126205152e-08
en,colon_per_1k,12.462830870283426,1.870025183123799e-08
en,dash_per_1k,3.6515716998769574,0.007727414389205103
en,semicolon_per_1k,3.9531700111557364,0.004821262378024201
en,bigram_entropy,2.213007887460424,0.07187684399226296
en,digit_rate,1.698577462041342,0.15510021549389813
es,mattr,10.050782884180157,5.183180579441796e-07
es,hapax_rate,6.799266269086451,5.998049409958447e-05
es,mean_token_len,3.1323228001570778,0.017390864094566975
es,zipf_slope,7.066152913919732,4.0141971328767026e-05
es,sent_len_mean,6.089867543804316,0.0001760638758707294
es,sent_len_sd,4.817127004065259,0.0012526550777678459
es,burstiness,9.831291135565753,7.072729393847917e-07
es,dep_depth,6.2919757956023785,0.000129374657965199
es,subord_rate,1.8038639171849413,0.13283289891138153
es,func_word_ratio,6.020329119250642,0.0001958020146700239
es,first_person_rate,6.919653257625497,5.0029976559213105e-05
es,para_count,13.352318145483613,5.730401993087802e-09
es,para_len_mean,8.968440677156336,2.434026052931289e-06
es,question_rate,0.7692307692307693,0.5473860523470063
es,connective_rate,5.75719719885895,0.00029302304865576383
es,comma_per_1k,25.743485494607803,3.030776394738054e-15
es,colon_per_1k,31.507446778957515,1.0311925544098362e-17
es,dash_per_1k,2.529889998231007,0.044260571190683655
es,semicolon_per_1k,1.613628384517543,0.1755543211140547
es,bigram_entropy,9.258087316071075,1.6035017556727901e-06
es,digit_rate,1.5473686940691833,0.1932075439031529
hi,mattr,2.106645637825668,0.08451147519502786
hi,hapax_rate,9.849996462655588,7.010908453092786e-07
hi,mean_token_len,0.6961225615407483,0.5961547209283387
hi,zipf_slope,10.76707962619079,1.9382285336029965e-07
hi,sent_len_mean,5.505328445074661,0.00043428358327360307
hi,sent_len_sd,5.253646801628862,0.0006401420069352032
hi,burstiness,9.690526902997247,8.789949750828869e-07
hi,dep_depth,5.195701654729491,0.0007000888803166814
hi,subord_rate,0.17168181463707338,0.9524776916814809
hi,func_word_ratio,0.9058716224243023,0.46310996100882273
hi,first_person_rate,4.931437396385554,0.0010539428463816605
hi,para_count,16.858342691684058,6.962436027438697e-11
hi,para_len_mean,4.9280453925429795,0.0010595005175938086
hi,question_rate,0.4945760431391831,0.7397245205973582
hi,connective_rate,5.7094585515249126,0.0003173626126132178
hi,comma_per_1k,8.630625146249402,4.029063776012061e-06
hi,colon_per_1k,2.553561644000825,0.04272692481578094
hi,dash_per_1k,9.108480909177693,2.0196402060983702e-06
hi,semicolon_per_1k,2.1875581312401393,0.07477085064481222
hi,bigram_entropy,7.123207021044217,3.721486715128036e-05
hi,digit_rate,2.157357960535962,0.0782726177144878
ja,mattr,0.9629105518804412,0.4307360537514141
ja,hapax_rate,14.039838518133063,2.331892468133263e-09
ja,mean_token_len,0.4078596074173232,0.8026715892625538
ja,zipf_slope,17.72577254068341,2.3257192851697642e-11
ja,sent_len_mean,3.3598660928516226,0.012192415713505909
ja,sent_len_sd,5.466690485001541,0.00045816305514857
ja,burstiness,4.028976868723122,0.004282342340854011
ja,dep_depth,2.527394063450095,0.04443093267562212
ja,subord_rate,1.827361270657289,0.12829150125644928
ja,func_word_ratio,0.7004802642965823,0.5931708595384408
ja,first_person_rate,4.853605074587821,0.001183616739593854
ja,para_count,11.461768617021278,7.272042761429436e-08
ja,para_len_mean,2.442580813037014,0.05061692133365202
ja,question_rate,,
ja,connective_rate,2.7486575404490625,0.03157238527608461
ja,comma_per_1k,48.587615544704384,7.225501423875862e-24
ja,colon_per_1k,2.04954516556915,0.09204385621027915
ja,dash_per_1k,,
ja,semicolon_per_1k,,
ja,bigram_entropy,27.653779208794006,4.332185991251379e-16
ja,digit_rate,1.305315470730378,0.2722254895773261
ru,mattr,2.8376439665973785,0.027504288942842542
ru,hapax_rate,10.941819597486056,1.4893395725818068e-07
ru,mean_token_len,3.172590593905836,0.01633248696562491
ru,zipf_slope,9.912140733927663,6.306531553766711e-07
ru,sent_len_mean,1.574347396365906,0.1858317589489307
ru,sent_len_sd,2.967981649167822,0.022462754963834913
ru,burstiness,3.460857081527606,0.010412374084371704
ru,dep_depth,0.7924205014611626,0.5324256867014865
ru,subord_rate,4.760816768059726,0.0013672752109623884
ru,func_word_ratio,3.7269792157637767,0.00686766429321714
ru,first_person_rate,0.986819201218191,0.4176934062137877
ru,para_count,16.927717019822293,6.125659428328915e-11
ru,para_len_mean,20.451773531854382,9.52799348387646e-13
ru,question_rate,0.8708055591555748,0.4838102975073416
ru,connective_rate,7.694082149420119,1.5728915255177324e-05
ru,comma_per_1k,21.22362375226454,3.97424150958937e-13
ru,colon_per_1k,23.916374077413046,2.0732718995857676e-14
ru,dash_per_1k,5.760309949773878,0.000291626096406989
ru,semicolon_per_1k,1.7083991665630534,0.1528839358064475
ru,bigram_entropy,5.167190027484462,0.0007277503132515437
ru,digit_rate,5.282851641449735,0.0006085257447451145
tr,mattr,2.112192837845365,0.08374279074572281
tr,hapax_rate,10.345182972544775,3.423864283414875e-07
tr,mean_token_len,2.2036870506612494,0.07290190136563082
tr,zipf_slope,9.21136428925906,1.7148811649879417e-06
tr,sent_len_mean,6.214965755343378,0.00014547423408392738
tr,sent_len_sd,4.0619965126842095,0.00406688874284878
