lang,claude,deepseek,gemini,grok,feature_classifier
en,0.125,0.21666666666666667,0.23333333333333334,0.2,0.7166666666666667
es,0.0,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.625
zh,0.3541666666666667,0.16666666666666666,0.2,0.225,0.65
ru,0.10416666666666667,0.225,0.25833333333333336,0.25,0.65
ja,0.22727272727272727,0.19166666666666668,0.175,0.2,0.7083333333333334
tr,0.0425531914893617,0.175,0.19166666666666668,0.2,0.5916666666666667
hi,0.24390243902439024,0.226890756302521,0.21008403361344538,0.24369747899159663,0.6386554621848739
