translator,lang,rank,feature,spearman_rho,p,eta2_model_before,eta2_model_after
google,es,2,mattr,0.25328147788040833,0.00525158065800871,0.4046150958374327,0.32262537540123964
google,es,2,hapax_rate,0.7877761920140011,1.3608753962619696e-26,0.4046150958374327,0.32262537540123964
google,es,2,mean_token_len,0.7994471819173898,6.997986987082521e-28,0.4046150958374327,0.32262537540123964
google,es,2,zipf_slope,0.7483991943884991,8.82982974281824e-23,0.4046150958374327,0.32262537540123964
google,es,2,sent_len_mean,0.9350113127405485,5.827712609929316e-55,0.4046150958374327,0.32262537540123964
google,es,2,sent_len_sd,0.8843600250017362,7.507365972540762e-41,0.4046150958374327,0.32262537540123964
google,es,2,burstiness,0.9340023612750884,1.4039171369098296e-54,0.4046150958374327,0.32262537540123964
google,es,2,dep_depth,0.8460448396279084,5.021267159991032e-34,0.4046150958374327,0.32262537540123964
google,es,2,subord_rate,0.9019143368065311,7.69272399656162e-45,0.4046150958374327,0.32262537540123964
google,es,2,func_word_ratio,0.4973487558077353,7.530317151315917e-09,0.4046150958374327,0.32262537540123964
google,es,2,first_person_rate,0.9718207653038136,6.611215009978305e-76,0.4046150958374327,0.32262537540123964
google,es,2,para_count,0.9955807881548091,4.430005134877798e-123,0.4046150958374327,0.32262537540123964
google,es,2,para_len_mean,0.9788602414548492,3.4961815783980804e-83,0.4046150958374327,0.32262537540123964
google,es,2,question_rate,,,0.4046150958374327,0.32262537540123964
google,es,2,connective_rate,0.6791249240426395,1.5230650493058413e-17,0.4046150958374327,0.32262537540123964
google,es,2,comma_per_1k,0.8721989756528494,1.895074316641256e-38,0.4046150958374327,0.32262537540123964
google,es,2,colon_per_1k,0.9250390859396511,1.9747027937578976e-51,0.4046150958374327,0.32262537540123964
google,es,2,dash_per_1k,,,0.4046150958374327,0.32262537540123964
google,es,2,semicolon_per_1k,0.9971449676474142,2.9615340631808967e-134,0.4046150958374327,0.32262537540123964
google,es,2,bigram_entropy,0.5461282033474547,1.1071024521355649e-10,0.4046150958374327,0.32262537540123964
google,es,2,digit_rate,0.9891128855335531,4.661374461671934e-100,0.4046150958374327,0.32262537540123964
google,hi,7,mattr,0.30627821376484476,0.0006686158146833022,0.4046150958374327,0.34031514965037035
google,hi,7,hapax_rate,0.7915486746418346,5.323937242320152e-27,0.4046150958374327,0.34031514965037035
google,hi,7,mean_token_len,0.7538856865060072,2.872217619648222e-23,0.4046150958374327,0.34031514965037035
google,hi,7,zipf_slope,0.8102854364886449,3.7117918661240873e-29,0.4046150958374327,0.34031514965037035
google,hi,7,sent_len_mean,0.8840478050548203,8.719266097505923e-41,0.4046150958374327,0.34031514965037035
google,hi,7,sent_len_sd,0.809389540940343,4.765247816583733e-29,0.4046150958374327,0.34031514965037035
google,hi,7,burstiness,0.8149940968122785,9.765641875396765e-30,0.4046150958374327,0.34031514965037035
google,hi,7,dep_depth,0.829616022070382,1.1970472223923494e-31,0.4046150958374327,0.34031514965037035
google,hi,7,subord_rate,0.7904054658645133,7.089746712837007e-27,0.4046150958374327,0.34031514965037035
google,hi,7,func_word_ratio,0.49148631403569143,1.197425975194554e-08,0.4046150958374327,0.34031514965037035
google,hi,7,first_person_rate,0.991689003342629,6.056837439276729e-107,0.4046150958374327,0.34031514965037035
google,hi,7,para_count,0.9955807881548091,4.430005134877798e-123,0.4046150958374327,0.34031514965037035
google,hi,7,para_len_mean,0.9813100015476003,2.6198341760322883e-86,0.4046150958374327,0.34031514965037035
google,hi,7,question_rate,,,0.4046150958374327,0.34031514965037035
google,hi,7,connective_rate,0.7053410515465632,2.3978329878088675e-19,0.4046150958374327,0.34031514965037035
google,hi,7,comma_per_1k,0.8665355212835928,2.0597532272809577e-37,0.4046150958374327,0.34031514965037035
google,hi,7,colon_per_1k,0.9190848194827417,1.5044820468245434e-49,0.4046150958374327,0.34031514965037035
google,hi,7,dash_per_1k,0.8749609506218776,5.678378700552402e-39,0.4046150958374327,0.34031514965037035
google,hi,7,semicolon_per_1k,0.9978120726215046,4.5780332042132214e-141,0.4046150958374327,0.34031514965037035
google,hi,7,bigram_entropy,0.5528092228626986,5.884053002488344e-11,0.4046150958374327,0.34031514965037035
google,hi,7,digit_rate,0.9999214559816878,2.7324346563570722e-226,0.4046150958374327,0.34031514965037035
google,ja,5,mattr,0.21423015487186606,0.018795747018734495,0.4046150958374327,0.2986602707079352
google,ja,5,hapax_rate,0.6935563121690989,1.6369826331358438e-18,0.4046150958374327,0.2986602707079352
google,ja,5,mean_token_len,0.0923258559622196,0.3158912143783247,0.4046150958374327,0.2986602707079352
google,ja,5,zipf_slope,0.645357316480311,1.7675366851102618e-15,0.4046150958374327,0.2986602707079352
google,ja,5,sent_len_mean,0.7859920968625894,2.1071750350454287e-26,0.4046150958374327,0.2986602707079352
google,ja,5,sent_len_sd,0.7123480797277587,7.312084304569049e-20,0.4046150958374327,0.2986602707079352
google,ja,5,burstiness,0.7550871588304743,2.2371683698648663e-23,0.4046150958374327,0.2986602707079352
google,ja,5,dep_depth,0.6305857144298943,1.1792189661029758e-14,0.4046150958374327,0.2986602707079352
google,ja,5,subord_rate,0.7313298605283175,2.433470791263617e-21,0.4046150958374327,0.2986602707079352
google,ja,5,func_word_ratio,0.35931439445453955,5.569538976970765e-05,0.4046150958374327,0.2986602707079352
google,ja,5,first_person_rate,0.7711804175203472,6.809160018077198e-25,0.4046150958374327,0.2986602707079352
google,ja,5,para_count,0.9999980555320599,0.0,0.4046150958374327,0.2986602707079352
google,ja,5,para_len_mean,0.9715799782153028,1.084614397279624e-75,0.4046150958374327,0.2986602707079352
google,ja,5,question_rate,,,0.4046150958374327,0.2986602707079352
google,ja,5,connective_rate,0.1341461297264466,0.14409037630681742,0.4046150958374327,0.2986602707079352
google,ja,5,comma_per_1k,0.7914354568751779,5.4775625534856604e-27,0.4046150958374327,0.2986602707079352
google,ja,5,colon_per_1k,0.3367916487835618,0.00016906795799355356,0.4046150958374327,0.2986602707079352
google,ja,5,dash_per_1k,,,0.4046150958374327,0.2986602707079352
google,ja,5,semicolon_per_1k,,,0.4046150958374327,0.2986602707079352
google,ja,5,bigram_entropy,0.30957010903534965,0.0005804329137566509,0.4046150958374327,0.2986602707079352
google,ja,5,digit_rate,0.6824378443030341,9.231144021568379e-18,0.4046150958374327,0.2986602707079352
google,ru,4,mattr,0.31081325092020273,0.0005500106848758329,0.4046150958374327,0.31627348079160533
google,ru,4,hapax_rate,0.6290829729208957,1.4222838622270716e-14,0.4046150958374327,0.31627348079160533
google,ru,4,mean_token_len,0.7364469754844085,9.250748270254634e-22,0.4046150958374327,0.31627348079160533
google,ru,4,zipf_slope,0.581290367386624,3.3760451715759933e-12,0.4046150958374327,0.31627348079160533
google,ru,4,sent_len_mean,0.9266906979992973,5.569867971022769e-52,0.4046150958374327,0.31627348079160533
google,ru,4,sent_len_sd,0.8770192374470448,2.2700669900788265e-39,0.4046150958374327,0.31627348079160533
google,ru,4,burstiness,0.9272310577123408,3.657746761096271e-52,0.4046150958374327,0.31627348079160533
google,ru,4,dep_depth,0.80912835690139,5.12400548528996e-29,0.4046150958374327,0.31627348079160533
google,ru,4,subord_rate,0.733303578291045,1.6801742320531092e-21,0.4046150958374327,0.31627348079160533
google,ru,4,func_word_ratio,0.5122995506601199,2.216049691911821e-09,0.4046150958374327,0.31627348079160533
google,ru,4,first_person_rate,0.7825166713112246,4.880201287379261e-26,0.4046150958374327,0.31627348079160533
google,ru,4,para_count,1.0,0.0,0.4046150958374327,0.31627348079160533
google,ru,4,para_len_mean,0.9787770821493268,4.396960640835853e-83,0.4046150958374327,0.31627348079160533
google,ru,4,question_rate,,,0.4046150958374327,0.31627348079160533
google,ru,4,connective_rate,0.6636374527767366,1.454709724559474e-16,0.4046150958374327,0.31627348079160533
google,ru,4,comma_per_1k,0.38516617646780377,1.399535020269781e-05,0.4046150958374327,0.31627348079160533
google,ru,4,colon_per_1k,0.8549759246521514,1.9441402786861662e-35,0.4046150958374327,0.31627348079160533
google,ru,4,dash_per_1k,0.5673960503382565,1.408503487631635e-11,0.4046150958374327,0.31627348079160533
google,ru,4,semicolon_per_1k,0.9960748805725247,4.116337411191648e-126,0.4046150958374327,0.31627348079160533
google,ru,4,bigram_entropy,0.5161400097228973,1.6030048556695977e-09,0.4046150958374327,0.31627348079160533
google,ru,4,digit_rate,0.9998204708152867,4.145659785053863e-205,0.4046150958374327,0.31627348079160533
google,tr,6,mattr,0.5284950343773873,5.500669420075801e-10,0.4046150958374327,0.3173270271180345
google,tr,6,hapax_rate,0.7868691358415094,1.700529572859338e-26,0.4046150958374327,0.3173270271180345
google,tr,6,mean_token_len,0.7126618387777925,6.927657667373249e-20,0.4046150958374327,0.3173270271180345
google,tr,6,zipf_slope,0.7415376067782484,3.4555254133763317e-22,0.4046150958374327,0.3173270271180345
google,tr,6,sent_len_mean,0.927241537515371,3.627920346939657e-52,0.4046150958374327,0.3173270271180345
google,tr,6,sent_len_sd,0.8312591152163343,7.111738320895074e-32,0.4046150958374327,0.3173270271180345
google,tr,6,burstiness,0.9112785610111811,2.732078675159779e-47,0.4046150958374327,0.3173270271180345
google,tr,6,dep_depth,0.7932342908231393,3.478463069979314e-27,0.4046150958374327,0.3173270271180345
google,tr,6,subord_rate,0.5418282724391285,1.6507978308572944e-10,0.4046150958374327,0.3173270271180345
google,tr,6,func_word_ratio,0.5100051219286971,2.6839651475689727e-09,0.4046150958374327,0.3173270271180345
google,tr,6,first_person_rate,0.6795189411075662,1.4355019491038922e-17,0.4046150958374327,0.3173270271180345
google,tr,6,para_count,1.0,0.0,0.4046150958374327,0.3173270271180345
google,tr,6,para_len_mean,0.9781707687765647,2.276838033208886e-82,0.4046150958374327,0.3173270271180345
google,tr,6,question_rate,,,0.4046150958374327,0.3173270271180345
google,tr,6,connective_rate,0.5238304418990466,8.279147788022587e-10,0.4046150958374327,0.3173270271180345
