lang,rank,n,centroid_dist,silhouette,between_within_ratio,centroid_dist_ci_lo,centroid_dist_ci_hi,silhouette_ci_lo,silhouette_ci_hi,between_within_ratio_ci_lo,between_within_ratio_ci_hi
en,1,120,3.592221087137581,0.03983730365510909,0.41194332515795784,3.123052169882457,3.758188068280039,-0.023414482318512786,0.03305684554679986,0.2640665705405877,0.44264213861363794
es,2,120,3.108762771782999,0.02057181687126979,0.2423444008216094,2.5591628401692583,3.1963949475173474,-0.03639751288272921,0.012708793912183922,0.1255953453914403,0.24777453742103098
zh,3,120,3.0055072797984375,0.026746068258784932,0.2252567852000425,2.4414771232147823,3.097533490616444,-0.027796022292182122,0.024682978996513838,0.11389835959222089,0.23211474975443647
ru,4,120,2.9729809560220066,0.009172777410100696,0.2157845428684836,2.3992341852107586,3.105628422533314,-0.04691533827507395,0.001696718677094134,0.09743818263716819,0.23070841326035238
ja,5,120,2.6997704958451845,0.017921175459247585,0.21058262538831554,2.190502938669203,2.783608339584818,-0.039397415537900514,0.026332300810338133,0.110570388743095,0.21194372930111377
tr,6,120,2.8429908252098137,0.008382503276068041,0.20321467723153985,2.25355047652754,2.947996183225146,-0.052041037054125786,0.00657312049991708,0.08449731866729682,0.21944093501474202
hi,7,119,2.6927855684232056,-0.019053023865509878,0.17548443208119394,2.105393591125731,2.8052470830573446,-0.08149155649423905,-0.019488212386059394,0.06730155438589341,0.18838207841587082
