lang,feature,F,p
en,mattr,14.393245949324788,1.4762926454829634e-09
en,hapax_rate,4.15526210718827,0.0035152400763979273
en,mean_token_len,10.423101831173105,3.069322077995122e-07
en,zipf_slope,6.260144850431281,0.00013579855709444524
en,sent_len_mean,3.683139594615236,0.00735512894847569
en,sent_len_sd,7.7151665517029375,1.5244798798928687e-05
en,burstiness,10.151192980818747,4.49832655462111e-07
en,dep_depth,6.7125990029482985,6.836458637702224e-05
en,subord_rate,5.467075587316451,0.0004578910923786659
en,func_word_ratio,9.087138764230138,2.0507561239916025e-06
en,first_person_rate,4.052326886927698,0.004128832984133174
en,para_count,7.179322713489373,3.3876862296687435e-05
en,para_len_mean,6.243631516030529,0.00013925727525726994
en,question_rate,,
en,connective_rate,2.4558734535061615,0.04959459637365911
en,comma_per_1k,4.397986563752241,0.002406288800909662
en,colon_per_1k,4.713983111973441,0.001470610997999293
en,dash_per_1k,3.533569380694238,0.009293516107677804
en,semicolon_per_1k,1.9732506685732805,0.10322093448991251
en,bigram_entropy,2.19479249880386,0.07389324772054881
en,digit_rate,1.331217610943331,0.2625782845106214
es,mattr,9.536573701398053,1.076037132681533e-06
es,hapax_rate,4.391312287980352,0.002431478983891325
es,mean_token_len,2.6954907918653057,0.03428005472578847
es,zipf_slope,4.6659863301117195,0.001584676666990252
es,sent_len_mean,7.400238443318167,2.435000519487261e-05
es,sent_len_sd,6.308813791120071,0.00012610168765613333
es,burstiness,8.967996643423465,2.435588579262585e-06
es,dep_depth,5.734007552304793,0.0003036451685227504
es,subord_rate,2.321400362410718,0.06093557270675481
es,func_word_ratio,6.773434559868721,6.236437692839132e-05
es,first_person_rate,6.916669721671276,5.025515109974183e-05
es,para_count,12.798219821796057,1.194070207783856e-08
es,para_len_mean,9.4266544736097,1.259174030563543e-06
es,question_rate,0.701801693311491,0.5922718325023184
es,connective_rate,4.298490610482734,0.0028105562218754985
es,comma_per_1k,14.60100753912094,1.1301583395146588e-09
es,colon_per_1k,18.005273463711024,1.6627879701450024e-11
es,dash_per_1k,2.7724953068734473,0.030427832345228462
es,semicolon_per_1k,0.6782115863457605,0.6084251145074691
es,bigram_entropy,6.168707620436401,0.00015610414426486208
es,digit_rate,1.0382242171983957,0.3906807871541344
hi,mattr,2.0592030950409557,0.0907793223700394
hi,hapax_rate,4.667576742524089,0.0015876317198435885
hi,mean_token_len,0.5238062872279291,0.718417971789109
hi,zipf_slope,4.385497423419255,0.0024630356761310957
hi,sent_len_mean,7.743262048734996,1.4792702186824787e-05
hi,sent_len_sd,4.42643051652082,0.0023108242112762733
hi,burstiness,9.857093408425465,6.940827400681866e-07
hi,dep_depth,6.374753744844441,0.00011498747768321314
hi,subord_rate,1.6000108501068742,0.17912419438328972
hi,func_word_ratio,0.5213549953302047,0.7202027417973235
hi,first_person_rate,4.110262616498066,0.0037839784248219228
hi,para_count,10.64458102058955,2.298037159076266e-07
hi,para_len_mean,6.0974664222053665,0.00017531745439360505
hi,question_rate,0.33687068560140815,0.8526188334362919
hi,connective_rate,3.7170236696077703,0.0069943634445434
hi,comma_per_1k,8.352139755873536,6.044675346599059e-06
hi,colon_per_1k,1.8091761614037476,0.13186151871897522
hi,dash_per_1k,9.55790645641353,1.061491057543007e-06
hi,semicolon_per_1k,1.8288892064192528,0.12806958279754055
hi,bigram_entropy,3.952946725156112,0.004837834295969032
hi,digit_rate,0.8891510939670373,0.47291443900191954
ja,mattr,0.8377787635403936,0.5039177721300201
ja,hapax_rate,1.3616768309157332,0.25161932625567385
ja,mean_token_len,0.22223447210922395,0.9255369528013168
ja,zipf_slope,1.8057069906328675,0.132471277894806
ja,sent_len_mean,3.7575861883645207,0.006546612629082944
ja,sent_len_sd,5.440635153738863,0.00047694731958949205
ja,burstiness,3.97018596308415,0.004694663360628476
ja,dep_depth,2.6161219889644873,0.03875211508563933
ja,subord_rate,2.0367266543288487,0.09383707123723044
ja,func_word_ratio,0.48208924937727243,0.7488337514540239
ja,first_person_rate,2.51201907028421,0.04549460477403143
ja,para_count,7.127493021738933,3.661296461210343e-05
ja,para_len_mean,2.220188593115018,0.07109666761510158
ja,question_rate,,
ja,connective_rate,1.2409507359390777,0.2975449872684616
ja,comma_per_1k,42.35704010362112,8.587773341041127e-22
ja,colon_per_1k,1.8408684587063335,0.12574765886307454
ja,dash_per_1k,,
ja,semicolon_per_1k,,
ja,bigram_entropy,1.1858808205072164,0.32078738302864496
ja,digit_rate,1.2174153422734664,0.30729641272435193
ru,mattr,1.6031424258712414,0.17824536229937715
ru,hapax_rate,2.174906309165048,0.07615701129379884
ru,mean_token_len,2.2101210492914074,0.0721928242824751
ru,zipf_slope,1.6883568806509888,0.15743827583277187
ru,sent_len_mean,2.091720875363999,0.08637291644141419
ru,sent_len_sd,2.592776667551752,0.04017325377508304
