judge,n,accuracy,p_vs_chance,own_recall,false_self_rate,self_recognition_p_fisher,self_claim_rate,unparsed_rate
grok,839,0.21930870083432658,0.08878117836490464,0.0,0.001488095238095238,1.0,0.0011918951132300357,0.0
gemini,839,0.21215733015494637,0.2005071295387629,0.02976190476190476,0.043219076005961254,0.8443726656771088,0.04052443384982122,0.0011918951132300357
deepseek,839,0.2026221692491061,0.4383498839892773,0.06547619047619048,0.08196721311475409,0.806119999672779,0.07866507747318235,0.0
claude,322,0.15527950310559005,0.9833530914718486,0.17261904761904762,0.09740259740259741,0.03512239098355826,0.13664596273291926,0.0
