cell_id,model_key,model_served,prompt_id,lang,gen,fk_tier,stance,n_tokens,n_sentences,mattr,hapax_rate,mean_token_len,zipf_slope,sent_len_mean,sent_len_sd,burstiness,dep_depth,subord_rate,func_word_ratio,first_person_rate,para_count,para_len_mean,question_rate,connective_rate,comma_per_1k,colon_per_1k,dash_per_1k,semicolon_per_1k,bigram_entropy,digit_rate
claude|P01|en|1,claude,anthropic/claude-opus-4.7,P01,en,1,general,for,377,24,0.9123780487804878,0.5092838196286472,5.43501326259947,-0.5036687991543066,15.708333333333334,7.532417861522269,-0.3517922206241261,5.083333333333333,0.9583333333333334,0.3050397877984085,0.0,10,37.7,0.0,68.96551724137932,66.3129973474801,5.305039787798409,10.610079575596815,2.6525198938992043,7.779896593936527,6.610009442870632
claude|P01|en|0,claude,anthropic/claude-opus-4.7,P01,en,0,general,for,375,22,0.9183435582822086,0.5173333333333333,5.594666666666667,-0.4868088982797549,17.045454545454547,9.643538536130578,-0.2773396503456379,5.136363636363637,1.0,0.328,0.0,10,37.5,0.0,64.0,82.66666666666667,0.0,8.0,0.0,7.820220106514546,4.6040515653775325
claude|P02|en|0,claude,anthropic/claude-opus-4.7,P02,en,0,educated,for,354,19,0.8627540983606556,0.519774011299435,5.141242937853107,-0.4774828048775343,18.63157894736842,9.435220814208089,-0.3276596623513224,5.2105263157894735,1.368421052631579,0.403954802259887,8.474576271186441,4,88.5,0.0,79.09604519774011,76.27118644067797,2.824858757062147,0.0,0.0,7.577714573276292,0.0
claude|P03|en|0,claude,anthropic/claude-opus-4.7,P03,en,0,general,against,367,17,0.887798742138365,0.4659400544959128,5.4141689373297,-0.5287732168353972,21.58823529411765,7.681624368659046,-0.4751171029065107,5.705882352941177,1.7647058823529411,0.3896457765667575,0.0,5,73.4,0.0,95.36784741144416,62.67029972752044,2.7247956403269757,0.0,0.0,7.614827529645923,0.0
claude|P02|en|1,claude,anthropic/claude-opus-4.7,P02,en,1,educated,for,354,19,0.8438688524590163,0.5112994350282486,5.056497175141243,-0.5014174642161767,18.63157894736842,7.69711725486157,-0.4153058551976729,5.105263157894737,1.3157894736842106,0.3983050847457627,2.824858757062147,5,70.8,0.0,76.27118644067797,93.22033898305084,0.0,0.0,0.0,7.524752508177238,0.0
claude|P03|en|1,claude,anthropic/claude-opus-4.7,P03,en,1,general,against,368,16,0.878369905956113,0.4972826086956521,5.649456521739131,-0.5045000100353452,23.0,7.164728420068226,-0.5249598590583285,6.3125,2.1875,0.358695652173913,0.0,5,73.6,0.0,92.3913043478261,57.06521739130435,2.717391304347826,5.434782608695652,0.0,7.622187814266621,0.0
claude|P04|en|0,claude,anthropic/claude-opus-4.7,P04,en,0,expert,for,370,16,0.9056074766355138,0.5216216216216216,5.754054054054054,-0.4740878960837514,23.125,11.60962244577029,-0.3315244774060287,5.8125,1.625,0.3135135135135135,0.0,6,61.66666666666666,0.0,67.56756756756756,54.054054054054056,2.702702702702702,10.81081081081081,0.0,7.848624907472484,14.61187214611872
claude|P04|en|1,claude,anthropic/claude-opus-4.7,P04,en,1,expert,for,370,17,0.8912772585669783,0.5,5.75945945945946,-0.5048507088494122,21.764705882352946,10.53879388120805,-0.3475138013933694,5.764705882352941,1.2941176470588236,0.3081081081081081,0.0,6,61.66666666666666,0.0,64.86486486486487,75.67567567567568,8.108108108108109,16.216216216216218,0.0,7.873978871193459,14.97957330912392
claude|P05|en|0,claude,anthropic/claude-opus-4.7,P05,en,0,educated,against,358,18,0.9265372168284792,0.5223463687150838,5.843575418994414,-0.46002098158655,19.88888888888889,8.55356058567486,-0.3985355872162585,5.666666666666667,1.5,0.3072625698324022,0.0,6,59.66666666666666,0.0,75.41899441340782,92.17877094972069,0.0,16.75977653631285,0.0,7.735193440835355,1.8570102135561743
claude|P05|en|1,claude,anthropic/claude-opus-4.7,P05,en,1,educated,against,362,17,0.9201277955271564,0.5303867403314917,6.04696132596685,-0.4552890090314481,21.294117647058822,8.723278525605732,-0.418785128768123,6.235294117647059,1.5294117647058822,0.3011049723756906,0.0,6,60.333333333333336,0.0,74.58563535911603,80.11049723756906,0.0,16.574585635359117,2.7624309392265194,7.74182889349922,2.663115845539281
